District,Region,Goods sales,Population
Северо-Казахстанская,North,7020351,543735
Атырауская,West,108177462,657110
Западно-Казахстанская,West,25817042,661316
Мангистауская,West,26605130,719571
Акмолинская,North,10314295,735566
Павлодарская,North,15183047,751012
Кызылординская,South,14633013,814588
Костанайская,North,13223777,864550
Актюбинская,West,25948608,894333
город Шымкент,South,13515441,1074466
Жамбылская,South,13189256,1139192
город Нур-Султан,North,137231246,1184411
Восточно-Казахстанская,East,25825159,1363797
Карагандинская,Central,32100150,1375938
город Алматы,South,139953063,1977258
Туркестанская ,South,29237994,2044742
Алматинская,South,15472614,2077967